反馈id,端,内容,反馈产品,问题类型,问题标签,问题样张,组件,版本号,渠道号,traceid,guid,hdid,来源字单元id,deviceid,设备类型,设备型号名称,设备系统版本,设备系统语言,云开关状态,ABI类型,SVN号,VC值,反馈时间,是否处理,最后处理人昵称,用户附件数量,用户附件列表,内部附件列表,附加信息,备注,系统语言,安装位置,CPU,显卡信息,设备名称,内存,硬盘,分辨率,系统版本,时区,客户端模式,云同步状态
fb_6954dd253dc417005ae62e2e,pc,备份老出错，几个小时做出来的东西突然卡了，自动就给关了再一打开恢复成没做的样子了,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,,4454166A9F784544ABA4999D8CC8A888,c2faf4f33166980055b914e249ea6c9f,,,,Win32,Win32,,,,,,2025/12/31 16:21,未处理,,0,,,,,zh-CN,C:\Users\Lenovo\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1382MB),"ZHAOXIN KaiXian KX-7000, 3.50GHz, KaiTian LXKT-ZXG-N8P","ZX C-1190, VRAM, Driver v30.0.23.15",DESKTOP-ISVN2K0,Unknown Memory-5600 SDRAM:7.4/30.0GB,C:72.4/842GB,1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954dca0d449ec005a1e987f,pc,点不掉,预览窗格,,,,WPS解压,12.1.0.24034,20.2706,,5FAEED05362D4C9191EF1888526EF324,c0235d4866db2efcb136a84c079f5dbf,,,,Win32,Win32,,,,,,2025/12/31 16:19,未处理,,0,,,,,zh-CN,H:\软件\WPS Office\12.1.0.24034 (1354MB),"12th Gen Intel(R) Core(TM) i5-12400F, 2.50GHz, MAXSUN MS-Challenger H610M-D","OrayIddDriver Device, VRAM, Driver v17.50.19.949 NVIDIA GeForce GTX 1660 SUPER, VRAM, Driver v27.21.14.5671",销售C2,DDR4-2667 SDRAM:17.2/31.8GB,"C:250.4/300GB, H:38.3/166GB",1920x1080,Microsoft Windows 11 专业版(64 位) Build 22621 v10.0.22621,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954dc72b1404a004c82e0c1,pc,思维导图中插入代码块，不显示内容，一片空白，辛苦尽快解决一下,金山文档｜WPS云文档,产品建议,文档异常，打不开或卡顿,,pc_home_more,docsWeb,docsWeb,,,,,,,Win32,Win32,,,,,,2025/12/31 16:18,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767169041025/o_1jdpno37i1fmokdm1h1s8a91o6be.png,,,,zh-CN,,,,,,,,,,,manual
fb_6954dc6b12fa9b004c7d65ec,pc,202512229a32e7db9ecam这个积分商城订单号什么时候才能发货，很久了,PC端个人中心,,,,wpsoffice,12.1.0.23542,12012.2019,,6BD8DD95B32C4AB08558285CEF90ED9E,35673bdbf0db6d8cb8ea3e17c72aafa7,,,,Win32,Win32,,,,,,2025/12/31 16:18,未处理,,0,,,,,zh-CN,C:\Users\SFCPC001\AppData\Local\Kingsoft\WPS Office\12.1.0.23542 (1363MB),"Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz, 2.81GHz, ASUSTeK COMPUTER INC. PRIME B360M-K","Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v31.0.101.2111",DESKTOP-P9DNPC4,DDR4-2666 SDRAM:6.1/7.8GB,C:136.7/223GB,1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954dc0ee782ad00534b064d,pc,快点给我更新版本啊，我需要同时设置行高和自动行高！！！打工人很需要这两个功能同时存在啊！！！！,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,1767169038289_60.48_8004121f404a,170474CA1E664B08BA741CB6E31DFC9B,d42935dd5ee9b8e6630d5659184c95f6,,,,Win32,Win32,,,,,,2025/12/31 16:17,未处理,,0,,,,,zh-CN,C:\Users\panjiawen\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Celeron(R) G5905 CPU @ 3.50GHz, 3.50GHz, LENOVO 317A","DameWare Development Mirror Driver 64-bit, VRAM, Driver v1.1.0.0 Intel(R) UHD Graphics 610, 1024MB VRAM, Driver v31.0.101.2115",jm-60-48,DDR4-2667 SDRAM:8.8/15.8GB,C:95.3/119GB,1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954dbc7b28a0c004c50bcc6,pc,无法自动同步本地文档更新,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,1767168967518_205.78_cfa82f56d9db,CDCD881F9CD643909EC44060D7801DC4,d556178d904d5fa5dc5726e163d4c898,,,,Win32,Win32,,,,,,2025/12/31 16:16,未处理,,0,,,,,zh-CN,G:\WPS Office\12.1.0.24034 (1396MB),"Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz, 3.30GHz, LENOVO  ","NVIDIA GeForce GT 1030, VRAM, Driver v32.0.15.6094",WIN-LEFKJ102B7R,DDR3-1600 SDRAM:6.9/11.9GB,"C:70.8/230GB, G:4.5/362GB",3840x2160,Microsoft Windows 10 教育版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954dba0616a01005ac79143,pc,如何把云文件同步到电脑,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,,B2E5643B57774361BCA9CBDBD886D09C,ac84ca7b3213fd4b8223c4021c6d65d2,,,,Win32,Win32,,,,,,2025/12/31 16:15,未处理,,0,,,,,zh-CN,C:\Users\huangc121\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1367MB),"12th Gen Intel(R) Core(TM) i5-1240P, 1.70GHz, HUAWEI YTF-XXX-PCB","OrayIddDriver Device, VRAM, Driver v17.50.19.949 Intel(R) Iris(R) Xe Graphics, 1024MB VRAM, Driver v31.0.101.3358",huangc121-vszbn,DDR4-3200 SDRAM:12.2/15.7GB,C:68.6/195GB,1920x1080,Microsoft Windows 11 专业版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954db1bab7987004cfd4ae3,pc,身为创作者，ai自动续写让人抗拒且恐慌，但是找不到关闭ai的入口，希望改进,WPS OFFICE,,,,home,12.1.0.24034,20.3076,,DBE3E254AC3F4A3CA9D10A9639714091,57f7e2fd018641f24462e1f557060aff,,,,Win32,Win32,,,,,,2025/12/31 16:13,未处理,,0,,,,,zh-CN,D:\WPS Office\12.1.0.24034 (1382MB),"Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz, 2.30GHz, Dell Inc. 0H87XC","NVIDIA GeForce GTX 960M, VRAM, Driver v31.0.15.2686 Intel(R) HD Graphics 530, 1024MB VRAM, Driver v26.20.100.6859",DESKTOP-DT6UR47,DDR3-1600 SDRAM:10.2/11.9GB,"C:81.0/107GB, D:339.1/466GB",2560x1440,Microsoft Windows 10 家庭中文版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954dab22de9f70053172bb3,pc,同一个手机号有两个WPS的ID号，怎么办？,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.513,,53D88B295B8C4D139C25EC21556A3ED1,40fe43f2e4f970f9675a5f2ace2e4cb9,,,,Win32,Win32,,,,,,2025/12/31 16:11,未处理,,0,,,,,zh-CN,d:\Program Files (x86)\Kingsoft\WPS Office\12.1.0.24034 (1465MB),"12th Gen Intel(R) Core(TM) i3-12100, 3.30GHz, LENOVO 3741","Intel(R) UHD Graphics 730, 2048MB VRAM, Driver v32.0.101.7079",戴园,DDR4-3200 SDRAM:6.7/7.7GB,"C:120.6/200GB, d:201.2/275GB",1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 22621 v10.0.22621,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954da9326195c0053e71d60,pc,思维导图可以另存为xmind格式,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,1767168659238_31.63_49fd3cb24a4a,6B1D6DA93933407DAB833DCAB3EC3220,7b0db87c3898426d1a154854cfb7e08f,,,,Win32,Win32,,,,,,2025/12/31 16:10,未处理,,0,,,,,zh-CN,D:\Program Files\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz, 2.71GHz, LENOVO 20HRA007CD","Intel(R) HD Graphics 620, 1024MB VRAM, Driver v31.0.101.2111",stone,LPDDR3-1867 SDRAM:7.3/7.9GB,"C:51.6/71GB, D:135.8/166GB",1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d9fcd449ec005a1e986f,pc,大会员能退了吗？一点都不要用，AI写出来的都不能用。没有豆包写得好,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.517,,ACF82518601B44C1843A5992F567C9A5,fab8cfa9f3a3bc4371806361fadb4756,,,,Win32,Win32,,,,,,2025/12/31 16:08,未处理,,0,,,,,zh-CN,C:\Users\Admin\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1351MB),"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz, 2.42GHz, LENOVO 20TAA024CD","Intel(R) Iris(R) Xe Graphics, 2048MB VRAM, Driver v32.0.101.7026",DESKTOP-LCT3V7G,DDR4-3200 SDRAM:10.8/15.7GB,C:191.5/476GB,1920x1080,Microsoft Windows 11 专业版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d9f0e782ad00534b063c,pc,为什么我的wps宏不能使用,PC端个人中心,,,,wpsoffice,12.1.0.24034,12012.2019,,96D0885C36C841929E3B1141636AFA1E,bb80e3039131ba70110ac596e0c0d6f9,,,,Win32,Win32,,,,,,2025/12/31 16:08,未处理,,0,,,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz, 2.60GHz, HUANANZHI X79M PRO","NVIDIA GeForce GTX 750 Ti, VRAM, Driver v30.0.14.7196",PC-20200926QDQT,Unknown Memory-1066 SDRAM:8.4/15.9GB,C:82.4/112GB,2560x1440,Microsoft Windows 7 旗舰版 (64-bit) Build 7601 v6.1.7601,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954d9bc38041a00537e1371,pc,PC端的桌面文件为什么无法同步到手机端了,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,1767168444369_167.40_be56dcbac402,107A8A494C8E4E9193EE99A30A27F712,c16c373de701b836872bdd0a1d9954d4,,,,Win32,Win32,,,,,,2025/12/31 16:07,未处理,,0,,,,,zh-CN,D:\wps\WPS Office\12.1.0.24034 (1397MB),"Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz, 2.90GHz, Dell Inc. 0YD74F","Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v27.20.100.8935 NVIDIA GeForce GT 730, VRAM, Driver v30.0.14.7514",DESKTOP-KEVT3L7,DDR4-2666 SDRAM:5.0/7.8GB,"C:103.6/222GB, D:50.1/931GB",1600x900,Microsoft Windows 10 企业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d9aab1404a004c82e07b,pc,特备容易卡,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,1767168428141_225.32_6b56b2922523,66E7AE8D12A64877BF959644B6CA0E00,613da6f6bd96d25a3a11cc9d5bfacb12,,,,Win32,Win32,,,,,,2025/12/31 16:07,未处理,,0,,,,,zh-CN,C:\Program Files (x86)\Kingsoft\WPS Office\12.1.0.24034 (1344MB),"Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz, 2.21GHz, LENOVO 20T3S24C2U","Intel(R) UHD Graphics, 1024MB VRAM, Driver v30.0.101.1122",MININT-EUAF7CG,DDR4-3200 SDRAM:7.8/15.8GB,C:74.7/100GB,1920x1080,Microsoft Windows 10 专业版(64 位) Build 18363 v10.0.18363,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954d9853dc417005ae62df6,pc,充值会员后为什么用不了？,PC端个人中心,,,,wpsoffice,12.1.0.24034,20.2706,,0CEFAD2DFA3A4B5AAC569E1201E73B11,d1983d40343725a34c1a556689c88e51,,,,Win32,Win32,,,,,,2025/12/31 16:06,未处理,,0,,,,,zh-CN,C:\Users\86133\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1230MB),"11th Gen Intel(R) Core(TM) i5-1155G7 @ 2.50GHz, 2.50GHz, LENOVO LNVNB161216","Intel(R) Iris(R) Xe Graphics, 128MB VRAM, Driver v31.0.101.5186",LAPTOP-B4FUDV29,DDR4-3200 SDRAM:12.8/15.8GB,C:107.9/200GB,1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 22631 v10.0.22631,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954d938e782ad00534b0631,pc,音频转文字多人讨论模式，不能根据发言人的音色自动识别发言人备注，一直不准确,PC端个人中心,,,,wpsoffice,12.1.0.24034,12012.2019,,069211D18E084A76BFB0B1FAC2B08C84,0e97a4370cc7055152b08078db570dbb,,,,Win32,Win32,,,,,,2025/12/31 16:05,未处理,,0,,,,,zh-CN,C:\Users\70536\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1382MB),"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz, 2.42GHz, ASUSTeK COMPUTER INC. I321EA","Sharing Monitor, VRAM, Driver v17.1.40.460 Intel(R) Iris(R) Xe Graphics, 1024MB VRAM, Driver v30.0.101.3111",我的电脑,LPDDR4-4267 SDRAM:14.7/15.7GB,C:198.6/475GB,1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d915d449ec005a1e9868,pc,之前表格内点击函数能自动跳转视频教学，现在视频教学不能跳转了，诊断修复还是没用，这个是什么原因？该怎么修复呢？,WPS OFFICE,,,,home,12.1.0.24034,50.524,,1792C204262C496C87B0113C6D64AE84,ebbcd9c5e299a62ea241313975794a88,,,,Win32,Win32,,,,,,2025/12/31 16:04,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767167940972/o_1jdpmm03enfo188f15vr1i5scvke.mp4,,,,zh-CN,C:\Users\42134\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1367MB),"13th Gen Intel(R) Core(TM) i7-13620H, 2.40GHz, HONOR BRG-XXX-PCB","OrayIddDriver Device, VRAM, Driver v17.50.19.949 Intel(R) UHD Graphics, 2048MB VRAM, Driver v32.0.101.6127 Honor Virtual Display Device, VRAM, Driver v1.0.23.3",LAPTOP-57SK85NB,LPDDR4-4267 SDRAM:7.8/15.7GB,C:128.3/300GB,1920x1200,Microsoft Windows 11 家庭中文版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954d8a8d449ec005a1e985b,pc,我的诉求：我不明白 ，作为wps多年的超级会员，为什么不能签到，需要给我个解释，会员快到期了，但是还有些日子呢，就禁止我签到啦！另一个账号就能签到，这不是区别对待么？麻烦尽快处理,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.513,,F6FD650359E2473488130256DB86F1C3,c9053da63d287a92b9cf8f6ed1bd2828,,,,Win32,Win32,,,,,,2025/12/31 16:02,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767167884961/o_1jdpmn8d3u1r12o8178p1od71sqfe.png,,,,zh-CN,E:\Program Files (x86)\Kingsoft\WPS Office\12.1.0.24034 (1351MB),"12th Gen Intel(R) Core(TM) i5-12400F, 2.50GHz, ASUSTeK COMPUTER INC. PRIME H610M-F D4 R2.0","OrayIddDriver Device, VRAM, Driver v17.50.19.949 NVIDIA GeForce GT 610, VRAM, Driver v9.18.13.908",PC-20251014ESXT,DDR4-3200 SDRAM:5.9/15.8GB,"C:66.2/300GB, E:14.0/315GB",1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d812d449ec005a1e9850,pc,不知道怎么关闭，设置的方便的开关功能不好吗？真的很恶心,WPS AI,不知道怎么使用,,,wps,12.1.0.24034,50.524,,6291A9B1B4B9438C87F73658B22FDDBB,7a5454c5740b50d622ccfaea5ce61034,,,,Win32,Win32,,,,,,2025/12/31 16:00,未处理,,0,,,,,zh-CN,C:\Users\lq\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1398MB),"Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz, 2.40GHz, HP 860A","Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v27.20.100.8476 NVIDIA GeForce GTX 1050, VRAM, Driver v32.0.15.7703",LAPTOP-TCE2AFRE,DDR4-2667 SDRAM:7.3/15.8GB,C:354.9/476GB,1920x1080,Microsoft Windows 10 家庭中文版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d7b726195c0053e71d29,pc,原注册手机号被强制停机17719581191 现需更换手机号,PC端个人中心,,,,wpsoffice,12.1.0.24034,20.2928,,09F5123204274C06A49A0ADBFB52617D,8aff7cf5dec2e547647fa3f0faa0abb8,,,,Win32,Win32,,,,,,2025/12/31 15:58,未处理,,0,,,,,zh-CN,C:\Users\A\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1498MB),"11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz, 2.60GHz, Colorful Technology And Development Co.,LTD H510M-T M.2 V20A","NVIDIA GeForce GTX 1050 Ti, VRAM, Driver v32.0.15.6094",DESKTOP-9QMIL26,DDR4-3200 SDRAM:8.4/15.9GB,C:139.2/150GB,1920x1080,Microsoft Windows 10 家庭中文版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d789b1404a004c82e060,pc,打开任何文档都是只读模式，怎么解除,PC端个人中心,,,,wpsoffice,12.1.0.24034,12012.2019,,339B9FB0EC8E42C89ACB36436808F264,2f3c42c1b240e50bc979b6527ec2ee7b,,,,Win32,Win32,,,,,,2025/12/31 15:58,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767167798314/o_1jdpmjehh1j29ndk1mj5jgtp5re.png,,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz, 2.90GHz, LENOVO 317E","Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v31.0.101.2125",BF-202503131415,DDR4-2933 SDRAM:6.4/7.7GB,C:166.7/238GB,1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d77d26195c0053e71d0e,pc,新更新的版本怎么没有表格美化功能了,WPS OFFICE,,,,home,12.1.0.24034,20.2776,1767167868813_1.16_1b30d7b24e08,DD5326A1A73146D1B5C3C8D67EE7440A,9306227100fa2360b00ef1dc2dbb5ace,,,,Win32,Win32,,,,,,2025/12/31 15:57,未处理,,0,,,,,zh-CN,C:\Program Files (x86)\Kingsoft Office Software\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Core(TM) i5-10400T CPU @ 2.00GHz, 1.99GHz, HP 86F7","NVIDIA GeForce MX330, VRAM, Driver v31.0.15.4601 Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v30.0.101.1191",DESKTOP-O3KJOHN,DDR4-3200 SDRAM:10.5/15.8GB,C:83.7/99GB,1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 22000 v10.0.22000,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954d75fab7987004cfd4acd,pc,关不掉,预览窗格,,,,WPS解压,12.1.0.24034,20.2706,,AE6A4655E4AF4C0CAB16CBC6358C25F7,30096385cf5e9f164e88a54636a41274,,,,Win32,Win32,,,,,,2025/12/31 15:57,未处理,,0,,,,,zh-CN,C:\Users\21108\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1400MB),"AMD Ryzen 7 8745H w/ Radeon 780M Graphics, 3.80GHz, MECHREVO GM5HG5A","NVIDIA GeForce RTX 4050 Laptop GPU, VRAM, Driver v32.0.15.7283 AMD Radeon 780M Graphics, 512MB VRAM, Driver v32.0.22029.9039",用zn,Unknown Memory-5600 SDRAM:12.0/15.3GB,C:227.3/476GB,2560x1600,Microsoft Windows 11 家庭中文版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d75c26195c0053e71d03,pc,电脑异常关机后没有恢复数据,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,1767167885558_3.79_fe7ecc92af29,5B98C072D9F34681A0AC6C17EAA17709,a6428c332ff918c2d6f5b7ced1aaa584,,,,Win32,Win32,,,,,,2025/12/31 15:57,未处理,,0,,,,,zh-CN,D:\外部软件\WPS\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz, 2.90GHz, Micro-Star International Co., Ltd. H510M PLUS V2 (MS-7E05)","Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v31.0.101.2115",PC-20230217WTIM,DDR4-2667 SDRAM:6.0/7.9GB,"C:89.9/160GB, D:95.3/305GB",1920x1080,Microsoft Windows 10 专业版(64 位) Build 18363 v10.0.18363,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d74dab7987004cfd4abe,pc,又发生2次同样的问题，修改一个文件夹内excel的名称，同时修改了其他文件夹，且打开的excel文件名称 1、为何会修改两个不同目录里的excel文件？！ 2、为何打开的excel表能修改名次？！ 这花了钱的体验感真不好，还没以前的好用   另外，鼠标点在文件上，右边不能显示预览，只有双击打开才能预览，之前还可以，按照客服提示的步骤，也不能显示（如附件）,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.513,,ADCF1E82C2094DC0B00312A364831FD0,4eca88f62fb22881a7ebf17f92d09be2,,,,Win32,Win32,,,,,,2025/12/31 15:57,未处理,,4,"https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767167480212/o_1jdpm7tj2sn31offdktu0827e.png
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767167480212/o_1jdpm86c7kkc8vpohl154rmp.png
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767167480212/o_1jdpm89rs19nsml8qc4o0b1otj14.png
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767167480212/o_1jdpmh88311qp88817gvlgb1hom1f.png",,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz, 1.80GHz, HP 8537","Intel(R) UHD Graphics 620, 1024MB VRAM, Driver v31.0.101.2135 NVIDIA GeForce MX130, VRAM, Driver v32.0.15.7344",CHINAMI-DGDR5N3,DDR4-2667 SDRAM:7.9/15.9GB,C:81.8/238GB,1366x768,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954d705b1404a004c82e054,pc,文件上传了 找不到,WPS云盘,__default,文件或资料丢失,,wpsoffice,12.1.0.24034,20.2706,,FE5B187CC9AE4837A216C10E00F4D38E,2ce126a9cc02f63b6aecedd446d1fa42,,,,Win32,Win32,,,,,,2025/12/31 15:55,未处理,,0,,,,,zh-CN,D:\LenovoSoftstore\Install\WPSOffice\WPS Office\12.1.0.24034 (1400MB),"Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz, 2.30GHz, LENOVO LNVNB161216","Sharing Monitor, VRAM, Driver v17.1.40.460 NVIDIA GeForce GTX 1050 Ti, VRAM, Driver v26.21.14.4223 Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v26.20.100.7637",LE,DDR4-2667 SDRAM:7.4/15.9GB,"C:90.6/100GB, D:151.9/376GB",1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 22631 v10.0.22631,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d6ccab7987004cfd4ab8,pc,一保存文档异常，查找不到,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,1767167691587_2.106_ddf65e31ed65,E1776CAFE21F463089F5802FD28C70AB,e3c09d7351d1e4b25fafa36e8bebeb66,,,,Win32,Win32,,,,,,2025/12/31 15:54,未处理,,0,,,,,zh-CN,C:\Users\admin\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1367MB),"Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz, 3.10GHz, ASUSTeK COMPUTER INC. B85M-G","Intel(R) HD Graphics 4600, 1024MB VRAM, Driver v20.19.15.4531",DESKTOP-LER759F,DDR3-1600 SDRAM:6.4/7.9GB,C:96.7/119GB,2560x1440,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d68f26195c0053e71ceb,pc,超级会员图片打印一键清晰图片没法清晰，变形，是什么原因,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.513,,4BD5DB5369FA4EC6B3093E2EA56BC107,e42e4ec18ab0bfa923dd03e5d6b747b0,,,,Win32,Win32,,,,,,2025/12/31 15:53,未处理,,0,,,,,zh-CN,C:\Program Files (x86)\Kingsoft\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Core(TM) i3-7350K CPU @ 4.20GHz, 4.20GHz, ASUSTeK COMPUTER INC. EX-B250M-V3","OrayIddDriver Device, VRAM, Driver v17.1.58.818 AMD Radeon HD 6570, VRAM, Driver v25.20.15032.3007",SC-202012171105,DDR4-2400 SDRAM:7.0/8.0GB,C:99.9/119GB,1280x1024,Microsoft Windows 10 专业版(64 位) Build 18362 v10.0.18362,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954d67512fa9b004c7d65b8,pc,WPS的AI翻译一直是处理中没有结果在翻译excel表格里面的英文,PC端个人中心,,,,wpsoffice,12.1.0.24034,20.2706,,60A4532BD87E4DC199F6CC92861337A2,94095e70051ef5278b19ec82bd95e67a,,,,Win32,Win32,,,,,,2025/12/31 15:53,未处理,,0,,,,,zh-CN,E:\WPS Office\12.1.0.24034 (1369MB),"Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.59GHz, LENOVO 20TQA002CD","NVIDIA Quadro P620, VRAM, Driver v32.0.15.7357 Intel(R) UHD Graphics, 1024MB VRAM, Driver v31.0.101.2135",bgp-gzz-86,DDR4-3200 SDRAM:9.8/15.8GB,"C:121.0/139GB, E:43.0/166GB",1920x1080,Microsoft Windows 10 家庭中文版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
